Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SmokeSuite,Chrome 74.0.3729.131,,,2019-05-07 16:38:58,2019-05-07 16:46:56,7m - 58.745s,PASSED
,,,,,,,
Test Cases/Login/Bugzilla-LoginPage-Loads,Chrome 74.0.3729.131,,,2019-05-07 16:38:58,2019-05-07 16:39:59,1m - 0.587s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-07 16:38:59,2019-05-07 16:39:03,4.197s,PASSED
navigateToUrl(applicationUrl),Chrome 74.0.3729.131,,,2019-05-07 16:39:03,2019-05-07 16:39:51,48.350s,PASSED
delay(4),Chrome 74.0.3729.131,,,2019-05-07 16:39:51,2019-05-07 16:39:55,4.046s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,,2019-05-07 16:39:55,2019-05-07 16:39:55,0.195s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-07 16:39:55,2019-05-07 16:39:57,2.009s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/input_username""), 0)",Chrome 74.0.3729.131,,,2019-05-07 16:39:57,2019-05-07 16:39:58,0.105s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/input_password""), 0)",Chrome 74.0.3729.131,,,2019-05-07 16:39:58,2019-05-07 16:39:58,0.037s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/checkbox_RememberMe""), 0)",Chrome 74.0.3729.131,,,2019-05-07 16:39:58,2019-05-07 16:39:58,0.030s,PASSED
"if (getText(findTestObject(""Page_BugsUI/label_rememberMe"")).equals(""Remember me""))",Chrome 74.0.3729.131,,,2019-05-07 16:39:58,2019-05-07 16:39:58,0.087s,PASSED
"if (verifyElementNotClickable(findTestObject(""Page_BugsUI/button_Login"")))",Chrome 74.0.3729.131,,,2019-05-07 16:39:58,2019-05-07 16:39:58,0.076s,PASSED
closeBrowser(),Chrome 74.0.3729.131,,,2019-05-07 16:39:58,2019-05-07 16:39:59,0.837s,PASSED
,,,,,,,
Test Cases/Login/Valid_Login,Chrome 74.0.3729.131,,,2019-05-07 16:39:59,2019-05-07 16:40:28,29.633s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-07 16:39:59,2019-05-07 16:40:01,1.668s,PASSED
navigateToUrl(applicationUrl),Chrome 74.0.3729.131,,,2019-05-07 16:40:01,2019-05-07 16:40:17,16.188s,PASSED
delay(5),Chrome 74.0.3729.131,,,2019-05-07 16:40:17,2019-05-07 16:40:22,5.005s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,,2019-05-07 16:40:22,2019-05-07 16:40:22,0.182s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-07 16:40:22,2019-05-07 16:40:24,2.000s,PASSED
"setText(findTestObject(""Page_BugsUI/input_username""), ""knagendra-ext"")",Chrome 74.0.3729.131,,,2019-05-07 16:40:24,2019-05-07 16:40:24,0.179s,PASSED
"setText(findTestObject(""Page_BugsUI/input_password""), ""Kum1!@#$%^&*()ar"")",Chrome 74.0.3729.131,,,2019-05-07 16:40:24,2019-05-07 16:40:24,0.182s,PASSED
"if (verifyElementClickable(findTestObject(""Page_BugsUI/button_Login"")))",Chrome 74.0.3729.131,,,2019-05-07 16:40:24,2019-05-07 16:40:24,0.158s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-07 16:40:24,2019-05-07 16:40:27,3.001s,PASSED
"if (verifyElementPresent(findTestObject(""Page_BugsUI Dashboard/span_Dashboard""), 0))",Chrome 74.0.3729.131,,,2019-05-07 16:40:27,2019-05-07 16:40:27,0.037s,PASSED
closeBrowser(),Chrome 74.0.3729.131,,,2019-05-07 16:40:27,2019-05-07 16:40:28,0.816s,PASSED
,,,,,,,
Test Cases/Add_Product/AddProductFields_verification,Chrome 74.0.3729.131,,,2019-05-07 16:40:28,2019-05-07 16:41:36,1m - 7.854s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-07 16:40:29,2019-05-07 16:40:30,1.721s,PASSED
navigateToUrl(applicationUrl),Chrome 74.0.3729.131,,,2019-05-07 16:40:30,2019-05-07 16:41:01,30.183s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-07 16:41:01,2019-05-07 16:41:04,3.001s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,,2019-05-07 16:41:04,2019-05-07 16:41:04,0.166s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-07 16:41:04,2019-05-07 16:41:06,2.000s,PASSED
"setText(findTestObject(""Page_BugsUI/input_username""), ""knagendra-ext"")",Chrome 74.0.3729.131,,,2019-05-07 16:41:06,2019-05-07 16:41:06,0.182s,PASSED
"setText(findTestObject(""Page_BugsUI/input_password""), ""Kum1!@#$%^&*()ar"")",Chrome 74.0.3729.131,,,2019-05-07 16:41:06,2019-05-07 16:41:06,0.201s,PASSED
"if (verifyElementClickable(findTestObject(""Page_BugsUI/button_Login"")))",Chrome 74.0.3729.131,,,2019-05-07 16:41:06,2019-05-07 16:41:06,0.160s,PASSED
delay(6),Chrome 74.0.3729.131,,,2019-05-07 16:41:06,2019-05-07 16:41:12,6.000s,PASSED
