Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SmokeSuite,Chrome 74.0.3729.131,,,2019-05-05 13:00:59,2019-05-05 13:04:52,3m - 52.496s,FAILED
,,,,,,,
Test Cases/Login/Bugzilla-LoginPage-Loads,Chrome 74.0.3729.131,,,2019-05-05 13:01:00,2019-05-05 13:01:23,22.982s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-05 13:01:01,2019-05-05 13:01:05,3.947s,PASSED
navigateToUrl(applicationUrl),Chrome 74.0.3729.131,,,2019-05-05 13:01:05,2019-05-05 13:01:17,12.043s,PASSED
delay(5),Chrome 74.0.3729.131,,,2019-05-05 13:01:17,2019-05-05 13:01:22,5.028s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,,2019-05-05 13:01:22,2019-05-05 13:01:22,0.133s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/input_username""), 0)",Chrome 74.0.3729.131,,,2019-05-05 13:01:22,2019-05-05 13:01:22,0.067s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/input_password""), 0)",Chrome 74.0.3729.131,,,2019-05-05 13:01:22,2019-05-05 13:01:22,0.030s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/checkbox_RememberMe""), 0)",Chrome 74.0.3729.131,,,2019-05-05 13:01:22,2019-05-05 13:01:22,0.027s,PASSED
"if (getText(findTestObject(""Page_BugsUI/label_rememberMe"")).equals(""Remember me""))",Chrome 74.0.3729.131,,,2019-05-05 13:01:22,2019-05-05 13:01:22,0.072s,PASSED
"if (verifyElementNotClickable(findTestObject(""Page_BugsUI/button_Login"")))",Chrome 74.0.3729.131,,,2019-05-05 13:01:22,2019-05-05 13:01:22,0.065s,PASSED
closeBrowser(),Chrome 74.0.3729.131,,,2019-05-05 13:01:22,2019-05-05 13:01:23,0.761s,PASSED
,,,,,,,
Test Cases/Login/Valid_Login,Chrome 74.0.3729.131,,,2019-05-05 13:01:23,2019-05-05 13:01:48,25.039s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-05 13:01:23,2019-05-05 13:01:24,1.380s,PASSED
navigateToUrl(applicationUrl),Chrome 74.0.3729.131,,,2019-05-05 13:01:24,2019-05-05 13:01:36,12.014s,PASSED
delay(5),Chrome 74.0.3729.131,,,2019-05-05 13:01:36,2019-05-05 13:01:41,5.006s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,,2019-05-05 13:01:41,2019-05-05 13:01:42,0.141s,PASSED
delay(1),Chrome 74.0.3729.131,,,2019-05-05 13:01:42,2019-05-05 13:01:43,1.004s,PASSED
"setText(findTestObject(""Page_BugsUI/input_username""), ""knagendra-ext"")",Chrome 74.0.3729.131,,,2019-05-05 13:01:43,2019-05-05 13:01:43,0.207s,PASSED
"setText(findTestObject(""Page_BugsUI/input_password""), ""Kum1!@#$%^&*()ar"")",Chrome 74.0.3729.131,,,2019-05-05 13:01:43,2019-05-05 13:01:43,0.158s,PASSED
delay(1),Chrome 74.0.3729.131,,,2019-05-05 13:01:43,2019-05-05 13:01:44,1.006s,PASSED
"if (verifyElementClickable(findTestObject(""Page_BugsUI/button_Login"")))",Chrome 74.0.3729.131,,,2019-05-05 13:01:44,2019-05-05 13:01:44,0.179s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-05 13:01:44,2019-05-05 13:01:47,3.006s,PASSED
"if (verifyElementPresent(findTestObject(""Page_BugsUI Dashboard/span_Dashboard""), 0))",Chrome 74.0.3729.131,,,2019-05-05 13:01:47,2019-05-05 13:01:47,0.069s,PASSED
closeBrowser(),Chrome 74.0.3729.131,,,2019-05-05 13:01:47,2019-05-05 13:01:48,0.655s,PASSED
,,,,,,,
Test Cases/Add_Product/AddProductFields_verification,Chrome 74.0.3729.131,,,2019-05-05 13:01:48,2019-05-05 13:02:24,36.055s,FAILED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-05 13:01:48,2019-05-05 13:01:50,1.375s,PASSED
navigateToUrl(applicationUrl),Chrome 74.0.3729.131,,,2019-05-05 13:01:50,2019-05-05 13:02:02,12.427s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-05 13:02:02,2019-05-05 13:02:05,3.005s,PASSED
reusable.loginBugZillaUI.login(),Chrome 74.0.3729.131,,,2019-05-05 13:02:05,2019-05-05 13:02:06,0.645s,PASSED
delay(6),Chrome 74.0.3729.131,,,2019-05-05 13:02:06,2019-05-05 13:02:12,6.005s,PASSED
"if (verifyElementPresent(findTestObject(""Page_BugsUI Dashboard/span_Dashboard""), 0))",Chrome 74.0.3729.131,,,2019-05-05 13:02:12,2019-05-05 13:02:14,2.346s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-05 13:02:14,2019-05-05 13:02:17,3.002s,PASSED
"if (verifyElementPresent(findTestObject(""Page_BugsUI Add Product/span_Add Product""), 0))",Chrome 74.0.3729.131,,,2019-05-05 13:02:17,2019-05-05 13:02:17,0.025s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Add Product/div_Choose Classification""), 3)",Chrome 74.0.3729.131,,,2019-05-05 13:02:17,2019-05-05 13:02:17,0.022s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Add Product/input_name""), 2)",Chrome 74.0.3729.131,,,2019-05-05 13:02:17,2019-05-05 13:02:17,0.023s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Add Product/textarea_description""), 1)",Chrome 74.0.3729.131,,,2019-05-05 13:02:17,2019-05-05 13:02:17,0.023s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Add Product/checkbox_closedForBugEntry""), 1)",Chrome 74.0.3729.131,,,2019-05-05 13:02:17,2019-05-05 13:02:17,0.025s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Add Product/input_version""), 1)",Chrome 74.0.3729.131,,,2019-05-05 13:02:17,2019-05-05 13:02:17,0.026s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Add Product/input_component""), 1)",Chrome 74.0.3729.131,,,2019-05-05 13:02:17,2019-05-05 13:02:17,0.021s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Add Product/div_Choose Assignee""), 1)",Chrome 74.0.3729.131,,,2019-05-05 13:02:17,2019-05-05 13:02:17,0.020s,PASSED
"if (verifyElementNotClickable(findTestObject(""Page_BugsUI Add Product/AddProduct_button"")))",Chrome 74.0.3729.131,,,2019-05-05 13:02:17,2019-05-05 13:02:17,0.035s,PASSED
"click(findTestObject(""Page_BugsUI Add Product/div_Choose Classification""))",Chrome 74.0.3729.131,,,2019-05-05 13:02:17,2019-05-05 13:02:17,0.102s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-05 13:02:17,2019-05-05 13:02:19,2.002s,PASSED
"click(findTestObject(""Page_BugsUI Add Product/span_Software""))",Chrome 74.0.3729.131,,,2019-05-05 13:02:19,2019-05-05 13:02:19,0.105s,PASSED
"setText(findTestObject(""Page_BugsUI Add Product/input_name""), ""1-Automation-testing"")",Chrome 74.0.3729.131,,,2019-05-05 13:02:19,2019-05-05 13:02:20,0.271s,PASSED
"setText(findTestObject(""Page_BugsUI Add Product/textarea_description""), ""1-Automation-testing Description"")",Chrome 74.0.3729.131,,,2019-05-05 13:02:20,2019-05-05 13:02:20,0.272s,PASSED
"setText(findTestObject(""Page_BugsUI Add Product/input_version""), ""1"")",Chrome 74.0.3729.131,,,2019-05-05 13:02:20,2019-05-05 13:02:20,0.077s,PASSED
"if (verifyElementNotClickable(findTestObject(""Page_BugsUI Add Product/AddProduct_button"")))",Chrome 74.0.3729.131,,,2019-05-05 13:02:20,2019-05-05 13:02:20,0.024s,PASSED
