Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SmokeSuite,Chrome 74.0.3729.131,,,2019-05-05 18:41:50,2019-05-05 18:49:21,7m - 31.608s,FAILED
,,,,,,,
Test Cases/Login/Bugzilla-LoginPage-Loads,Chrome 74.0.3729.131,,,2019-05-05 18:41:50,2019-05-05 18:42:52,1m - 2.044s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-05 18:41:51,2019-05-05 18:41:54,3.249s,PASSED
navigateToUrl(applicationUrl),Chrome 74.0.3729.131,,,2019-05-05 18:41:54,2019-05-05 18:42:45,51.030s,PASSED
delay(4),Chrome 74.0.3729.131,,,2019-05-05 18:42:45,2019-05-05 18:42:49,4.046s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,,2019-05-05 18:42:49,2019-05-05 18:42:49,0.179s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-05 18:42:49,2019-05-05 18:42:51,2.015s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/input_username""), 0)",Chrome 74.0.3729.131,,,2019-05-05 18:42:51,2019-05-05 18:42:51,0.141s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/input_password""), 0)",Chrome 74.0.3729.131,,,2019-05-05 18:42:51,2019-05-05 18:42:51,0.049s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/checkbox_RememberMe""), 0)",Chrome 74.0.3729.131,,,2019-05-05 18:42:51,2019-05-05 18:42:51,0.048s,PASSED
"if (getText(findTestObject(""Page_BugsUI/label_rememberMe"")).equals(""Remember me""))",Chrome 74.0.3729.131,,,2019-05-05 18:42:51,2019-05-05 18:42:52,0.070s,PASSED
"if (verifyElementNotClickable(findTestObject(""Page_BugsUI/button_Login"")))",Chrome 74.0.3729.131,,,2019-05-05 18:42:52,2019-05-05 18:42:52,0.048s,PASSED
closeBrowser(),Chrome 74.0.3729.131,,,2019-05-05 18:42:52,2019-05-05 18:42:52,0.688s,PASSED
,,,,,,,
Test Cases/Login/Valid_Login,Chrome 74.0.3729.131,,,2019-05-05 18:42:52,2019-05-05 18:43:57,1m - 4.432s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-05 18:42:53,2019-05-05 18:42:54,1.440s,PASSED
navigateToUrl(applicationUrl),Chrome 74.0.3729.131,,,2019-05-05 18:42:54,2019-05-05 18:43:45,51.360s,PASSED
delay(5),Chrome 74.0.3729.131,,,2019-05-05 18:43:45,2019-05-05 18:43:50,5.004s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,,2019-05-05 18:43:50,2019-05-05 18:43:50,0.119s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-05 18:43:50,2019-05-05 18:43:52,2.002s,PASSED
"setText(findTestObject(""Page_BugsUI/input_username""), ""knagendra-ext"")",Chrome 74.0.3729.131,,,2019-05-05 18:43:52,2019-05-05 18:43:53,0.226s,PASSED
"setText(findTestObject(""Page_BugsUI/input_password""), ""Kum1!@#$%^&*()ar"")",Chrome 74.0.3729.131,,,2019-05-05 18:43:53,2019-05-05 18:43:53,0.176s,PASSED
"if (verifyElementClickable(findTestObject(""Page_BugsUI/button_Login"")))",Chrome 74.0.3729.131,,,2019-05-05 18:43:53,2019-05-05 18:43:53,0.137s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-05 18:43:53,2019-05-05 18:43:56,3.003s,PASSED
"if (verifyElementPresent(findTestObject(""Page_BugsUI Dashboard/span_Dashboard""), 0))",Chrome 74.0.3729.131,,,2019-05-05 18:43:56,2019-05-05 18:43:56,0.025s,PASSED
closeBrowser(),Chrome 74.0.3729.131,,,2019-05-05 18:43:56,2019-05-05 18:43:57,0.667s,PASSED
,,,,,,,
Test Cases/Add_Product/AddProductFields_verification,Chrome 74.0.3729.131,,,2019-05-05 18:43:57,2019-05-05 18:45:55,1m - 58.178s,FAILED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-05 18:43:57,2019-05-05 18:43:58,1.355s,PASSED
navigateToUrl(applicationUrl),Chrome 74.0.3729.131,,,2019-05-05 18:43:58,2019-05-05 18:45:10,1m - 11.554s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-05 18:45:10,2019-05-05 18:45:13,3.005s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,,2019-05-05 18:45:13,2019-05-05 18:45:13,0.148s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-05 18:45:13,2019-05-05 18:45:15,2.005s,PASSED
"setText(findTestObject(""Page_BugsUI/input_username""), ""knagendra-ext"")",Chrome 74.0.3729.131,,,2019-05-05 18:45:15,2019-05-05 18:45:15,0.291s,PASSED
"setText(findTestObject(""Page_BugsUI/input_password""), ""Kum1!@#$%^&*()ar"")",Chrome 74.0.3729.131,,,2019-05-05 18:45:15,2019-05-05 18:45:16,0.334s,PASSED
"if (verifyElementClickable(findTestObject(""Page_BugsUI/button_Login"")))",Chrome 74.0.3729.131,,,2019-05-05 18:45:16,2019-05-05 18:45:16,0.288s,PASSED
delay(6),Chrome 74.0.3729.131,,,2019-05-05 18:45:16,2019-05-05 18:45:22,6.005s,PASSED
"if (verifyElementPresent(findTestObject(""Page_BugsUI Dashboard/span_Dashboard""), 0))",Chrome 74.0.3729.131,,,2019-05-05 18:45:22,2019-05-05 18:45:24,2.483s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-05 18:45:24,2019-05-05 18:45:27,3.004s,PASSED
"if (verifyElementPresent(findTestObject(""Page_BugsUI Add Product/span_Add Product""), 0))",Chrome 74.0.3729.131,,,2019-05-05 18:45:27,2019-05-05 18:45:30,2.717s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Add Product/div_Choose Classification""), 1)",Chrome 74.0.3729.131,,,2019-05-05 18:45:30,2019-05-05 18:45:30,0.072s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Add Product/input_name""), 1)",Chrome 74.0.3729.131,,,2019-05-05 18:45:30,2019-05-05 18:45:30,0.064s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Add Product/textarea_description""), 1)",Chrome 74.0.3729.131,,,2019-05-05 18:45:30,2019-05-05 18:45:30,0.083s,PASSED
