Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SmokeSuite,Chrome 74.0.3729.131,,,2019-05-05 19:06:41,2019-05-05 19:13:03,6m - 22.084s,FAILED
,,,,,,,
Test Cases/Login/Bugzilla-LoginPage-Loads,Chrome 74.0.3729.131,,,2019-05-05 19:06:41,2019-05-05 19:07:43,1m - 1.493s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-05 19:06:42,2019-05-05 19:06:45,2.742s,PASSED
navigateToUrl(applicationUrl),Chrome 74.0.3729.131,,,2019-05-05 19:06:45,2019-05-05 19:07:36,51.037s,PASSED
delay(4),Chrome 74.0.3729.131,,,2019-05-05 19:07:36,2019-05-05 19:07:40,4.055s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,,2019-05-05 19:07:40,2019-05-05 19:07:40,0.132s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-05 19:07:40,2019-05-05 19:07:42,2.004s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/input_username""), 0)",Chrome 74.0.3729.131,,,2019-05-05 19:07:42,2019-05-05 19:07:42,0.069s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/input_password""), 0)",Chrome 74.0.3729.131,,,2019-05-05 19:07:42,2019-05-05 19:07:42,0.061s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/checkbox_RememberMe""), 0)",Chrome 74.0.3729.131,,,2019-05-05 19:07:42,2019-05-05 19:07:42,0.042s,PASSED
"if (getText(findTestObject(""Page_BugsUI/label_rememberMe"")).equals(""Remember me""))",Chrome 74.0.3729.131,,,2019-05-05 19:07:42,2019-05-05 19:07:42,0.086s,PASSED
"if (verifyElementNotClickable(findTestObject(""Page_BugsUI/button_Login"")))",Chrome 74.0.3729.131,,,2019-05-05 19:07:42,2019-05-05 19:07:42,0.060s,PASSED
closeBrowser(),Chrome 74.0.3729.131,,,2019-05-05 19:07:42,2019-05-05 19:07:43,0.719s,PASSED
,,,,,,,
Test Cases/Login/Valid_Login,Chrome 74.0.3729.131,,,2019-05-05 19:07:43,2019-05-05 19:08:20,37.182s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-05 19:07:43,2019-05-05 19:07:44,1.496s,PASSED
navigateToUrl(applicationUrl),Chrome 74.0.3729.131,,,2019-05-05 19:07:44,2019-05-05 19:08:09,24.189s,PASSED
delay(5),Chrome 74.0.3729.131,,,2019-05-05 19:08:09,2019-05-05 19:08:14,5.003s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,,2019-05-05 19:08:14,2019-05-05 19:08:14,0.122s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-05 19:08:14,2019-05-05 19:08:16,2.002s,PASSED
"setText(findTestObject(""Page_BugsUI/input_username""), ""knagendra-ext"")",Chrome 74.0.3729.131,,,2019-05-05 19:08:16,2019-05-05 19:08:16,0.152s,PASSED
"setText(findTestObject(""Page_BugsUI/input_password""), ""Kum1!@#$%^&*()ar"")",Chrome 74.0.3729.131,,,2019-05-05 19:08:16,2019-05-05 19:08:16,0.170s,PASSED
"if (verifyElementClickable(findTestObject(""Page_BugsUI/button_Login"")))",Chrome 74.0.3729.131,,,2019-05-05 19:08:16,2019-05-05 19:08:16,0.129s,PASSED
