Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SmokeSuite,,,,2019-05-10 13:50:58,2019-05-10 13:51:08,10.148s,FAILED
,,,,,,,
Test Cases/Login/Bugzilla-LoginPage-Loads,,,,2019-05-10 13:50:58,2019-05-10 13:50:59,1.121s,FAILED
"openBrowser("""")",,,,2019-05-10 13:50:59,2019-05-10 13:50:59,0.565s,FAILED
,,,,,,,
Test Cases/Login/Valid_Login,,,,2019-05-10 13:50:59,2019-05-10 13:51:00,0.439s,FAILED
"openBrowser("""")",,,,2019-05-10 13:51:00,2019-05-10 13:51:00,0.041s,FAILED
,,,,,,,
Test Cases/Add_Product/AddProductFields_verification,,,,2019-05-10 13:51:00,2019-05-10 13:51:00,0.714s,FAILED
"openBrowser("""")",,,,2019-05-10 13:51:00,2019-05-10 13:51:00,0.013s,FAILED
,,,,,,,
Test Cases/Add_Product/AddedProductAvailability,,,,2019-05-10 13:51:00,2019-05-10 13:51:03,2.465s,FAILED
delay(2),,,,2019-05-10 13:51:01,2019-05-10 13:51:03,2.053s,PASSED
"if (verifyElementPresent(findTestObject(""Page_BugsUI Dashboard/a_New Bug""), 0))",,,,2019-05-10 13:51:03,2019-05-10 13:51:03,0.100s,FAILED
,,,,,,,
Test Cases/Add_Product/Delete_added_product,,,,2019-05-10 13:51:03,2019-05-10 13:51:03,0.366s,FAILED
"if (verifyElementPresent(findTestObject(""Page_BugsUI Dashboard/button_Product""), 10))",,,,2019-05-10 13:51:03,2019-05-10 13:51:03,0.031s,FAILED
,,,,,,,
Test Cases/Edit_Product/Edit_product_fields,,,,2019-05-10 13:51:03,2019-05-10 13:51:04,0.395s,FAILED
"openBrowser("""")",,,,2019-05-10 13:51:04,2019-05-10 13:51:04,0.015s,FAILED
,,,,,,,
Test Cases/Edit_Product/closedForBugEntery_UpdateProduct,,,,2019-05-10 13:51:04,2019-05-10 13:51:04,0.382s,FAILED
"scrollToElement(findTestObject(""Page_BugsUI Edit Product/input_newName""), 2)",,,,2019-05-10 13:51:04,2019-05-10 13:51:04,0.045s,FAILED
,,,,,,,
Test Cases/NewBugCreation/Creating_bug,,,,2019-05-10 13:51:04,2019-05-10 13:51:05,0.371s,FAILED
"openBrowser("""")",,,,2019-05-10 13:51:05,2019-05-10 13:51:05,0.000s,FAILED
,,,,,,,
Test Cases/BugPage/verify_commit_for_bugPage,,,,2019-05-10 13:51:05,2019-05-10 13:51:05,0.359s,FAILED
"openBrowser("""")",,,,2019-05-10 13:51:05,2019-05-10 13:51:05,0.020s,FAILED
,,,,,,,
Test Cases/BugPage/verify_addingComments,,,,2019-05-10 13:51:05,2019-05-10 13:51:07,2.546s,FAILED
delay(2),,,,2019-05-10 13:51:05,2019-05-10 13:51:07,2.005s,PASSED
"scrollToElement(findTestObject(""Page_BugsUI New Bug/select_commentOrder_dropdown""), 0)",,,,2019-05-10 13:51:07,2019-05-10 13:51:07,0.082s,FAILED
,,,,,,,
Test Cases/SearchPage/verify_user_able_to_search_basicflow,,,,2019-05-10 13:51:08,2019-05-10 13:51:08,0.264s,FAILED
"openBrowser("""")",,,,2019-05-10 13:51:08,2019-05-10 13:51:08,0.000s,FAILED
