Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementPresent(findTestObject(""Page_BugsUI Add Product/checkbox_closedForBugEntry""), 1)",Chrome 74.0.3729.131,,,2019-05-06 10:12:41,2019-05-06 10:12:41,0.041s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Add Product/input_version""), 1)",Chrome 74.0.3729.131,,,2019-05-06 10:12:41,2019-05-06 10:12:41,0.039s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Add Product/input_component""), 1)",Chrome 74.0.3729.131,,,2019-05-06 10:12:41,2019-05-06 10:12:41,0.031s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Add Product/div_Choose Assignee""), 1)",Chrome 74.0.3729.131,,,2019-05-06 10:12:41,2019-05-06 10:12:41,0.041s,PASSED
"scrollToElement(findTestObject(""Page_BugsUI Add Product/AddProduct_button""), 0)",Chrome 74.0.3729.131,,,2019-05-06 10:12:41,2019-05-06 10:12:41,0.056s,PASSED
delay(1),Chrome 74.0.3729.131,,,2019-05-06 10:12:41,2019-05-06 10:12:42,1.007s,PASSED
"if (verifyElementNotClickable(findTestObject(""Page_BugsUI Add Product/AddProduct_button"")))",Chrome 74.0.3729.131,,,2019-05-06 10:12:42,2019-05-06 10:12:42,0.040s,PASSED
"scrollToElement(findTestObject(""Page_BugsUI Add Product/div_Choose Classification""), 0)",Chrome 74.0.3729.131,,,2019-05-06 10:12:42,2019-05-06 10:12:42,0.043s,PASSED
delay(1),Chrome 74.0.3729.131,,,2019-05-06 10:12:42,2019-05-06 10:12:43,1.005s,PASSED
"click(findTestObject(""Page_BugsUI Add Product/div_Choose Classification""))",Chrome 74.0.3729.131,,,2019-05-06 10:12:43,2019-05-06 10:12:43,0.123s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-06 10:12:43,2019-05-06 10:12:45,2.011s,PASSED
"click(findTestObject(""Page_BugsUI Add Product/span_Software""))",Chrome 74.0.3729.131,,,2019-05-06 10:12:45,2019-05-06 10:12:45,0.123s,PASSED
"setText(findTestObject(""Page_BugsUI Add Product/input_name""), ""1-Automation-testing"")",Chrome 74.0.3729.131,,,2019-05-06 10:12:45,2019-05-06 10:12:46,0.280s,PASSED
"setText(findTestObject(""Page_BugsUI Add Product/textarea_description""), ""1-Automation-testing Description"")",Chrome 74.0.3729.131,,,2019-05-06 10:12:46,2019-05-06 10:12:46,0.332s,PASSED
"setText(findTestObject(""Page_BugsUI Add Product/input_version""), ""1"")",Chrome 74.0.3729.131,,,2019-05-06 10:12:46,2019-05-06 10:12:46,0.106s,PASSED
"scrollToElement(findTestObject(""Page_BugsUI Add Product/AddProduct_button""), 0)",Chrome 74.0.3729.131,,,2019-05-06 10:12:46,2019-05-06 10:12:46,0.029s,PASSED
delay(1),Chrome 74.0.3729.131,,,2019-05-06 10:12:46,2019-05-06 10:12:47,1.007s,PASSED
"if (verifyElementNotClickable(findTestObject(""Page_BugsUI Add Product/AddProduct_button"")))",Chrome 74.0.3729.131,,,2019-05-06 10:12:47,2019-05-06 10:12:47,0.035s,PASSED
