Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SmokeSuite,Chrome 74.0.3729.131,,,2019-05-06 10:20:59,2019-05-06 10:25:20,4m - 21.704s,PASSED
,,,,,,,
Test Cases/Login/Bugzilla-LoginPage-Loads,Chrome 74.0.3729.131,,,2019-05-06 10:20:59,2019-05-06 10:21:25,25.999s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-06 10:21:00,2019-05-06 10:21:03,3.605s,PASSED
navigateToUrl(applicationUrl),Chrome 74.0.3729.131,,,2019-05-06 10:21:03,2019-05-06 10:21:18,14.410s,PASSED
delay(4),Chrome 74.0.3729.131,,,2019-05-06 10:21:18,2019-05-06 10:21:22,4.042s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,,2019-05-06 10:21:22,2019-05-06 10:21:22,0.169s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-06 10:21:22,2019-05-06 10:21:24,2.012s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/input_username""), 0)",Chrome 74.0.3729.131,,,2019-05-06 10:21:24,2019-05-06 10:21:24,0.086s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/input_password""), 0)",Chrome 74.0.3729.131,,,2019-05-06 10:21:24,2019-05-06 10:21:24,0.023s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/checkbox_RememberMe""), 0)",Chrome 74.0.3729.131,,,2019-05-06 10:21:24,2019-05-06 10:21:24,0.028s,PASSED
"if (getText(findTestObject(""Page_BugsUI/label_rememberMe"")).equals(""Remember me""))",Chrome 74.0.3729.131,,,2019-05-06 10:21:24,2019-05-06 10:21:24,0.061s,PASSED
"if (verifyElementNotClickable(findTestObject(""Page_BugsUI/button_Login"")))",Chrome 74.0.3729.131,,,2019-05-06 10:21:24,2019-05-06 10:21:24,0.062s,PASSED
closeBrowser(),Chrome 74.0.3729.131,,,2019-05-06 10:21:24,2019-05-06 10:21:25,0.740s,PASSED
,,,,,,,
Test Cases/Login/Valid_Login,Chrome 74.0.3729.131,,,2019-05-06 10:21:25,2019-05-06 10:21:53,28.214s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-06 10:21:25,2019-05-06 10:21:27,1.351s,PASSED
navigateToUrl(applicationUrl),Chrome 74.0.3729.131,,,2019-05-06 10:21:27,2019-05-06 10:21:42,15.229s,PASSED
delay(5),Chrome 74.0.3729.131,,,2019-05-06 10:21:42,2019-05-06 10:21:47,5.002s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,,2019-05-06 10:21:47,2019-05-06 10:21:47,0.130s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-06 10:21:47,2019-05-06 10:21:49,2.007s,PASSED
"setText(findTestObject(""Page_BugsUI/input_username""), ""knagendra-ext"")",Chrome 74.0.3729.131,,,2019-05-06 10:21:49,2019-05-06 10:21:49,0.166s,PASSED
"setText(findTestObject(""Page_BugsUI/input_password""), ""Kum1!@#$%^&*()ar"")",Chrome 74.0.3729.131,,,2019-05-06 10:21:49,2019-05-06 10:21:49,0.184s,PASSED
"if (verifyElementClickable(findTestObject(""Page_BugsUI/button_Login"")))",Chrome 74.0.3729.131,,,2019-05-06 10:21:49,2019-05-06 10:21:50,0.145s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-06 10:21:50,2019-05-06 10:21:53,3.004s,PASSED
"if (verifyElementPresent(findTestObject(""Page_BugsUI Dashboard/span_Dashboard""), 0))",Chrome 74.0.3729.131,,,2019-05-06 10:21:53,2019-05-06 10:21:53,0.032s,PASSED
closeBrowser(),Chrome 74.0.3729.131,,,2019-05-06 10:21:53,2019-05-06 10:21:53,0.764s,PASSED
,,,,,,,
Test Cases/Add_Product/AddProductFields_verification,Chrome 74.0.3729.131,,,2019-05-06 10:21:53,2019-05-06 10:22:45,51.253s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-06 10:21:54,2019-05-06 10:21:55,1.413s,PASSED
navigateToUrl(applicationUrl),Chrome 74.0.3729.131,,,2019-05-06 10:21:55,2019-05-06 10:22:10,15.135s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-06 10:22:10,2019-05-06 10:22:13,3.004s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,,2019-05-06 10:22:13,2019-05-06 10:22:13,0.129s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-06 10:22:13,2019-05-06 10:22:15,2.003s,PASSED
"setText(findTestObject(""Page_BugsUI/input_username""), ""knagendra-ext"")",Chrome 74.0.3729.131,,,2019-05-06 10:22:15,2019-05-06 10:22:16,0.130s,PASSED
"setText(findTestObject(""Page_BugsUI/input_password""), ""Kum1!@#$%^&*()ar"")",Chrome 74.0.3729.131,,,2019-05-06 10:22:16,2019-05-06 10:22:16,0.158s,PASSED
