Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SmokeSuite,Chrome 74.0.3729.131,,,2019-05-05 17:21:29,2019-05-05 17:28:45,7m - 16.024s,PASSED
,,,,,,,
Test Cases/Login/Bugzilla-LoginPage-Loads,Chrome 74.0.3729.131,,,2019-05-05 17:21:29,2019-05-05 17:22:27,57.356s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-05 17:21:30,2019-05-05 17:21:33,3.003s,PASSED
navigateToUrl(applicationUrl),Chrome 74.0.3729.131,,,2019-05-05 17:21:33,2019-05-05 17:22:19,46.598s,PASSED
delay(4),Chrome 74.0.3729.131,,,2019-05-05 17:22:19,2019-05-05 17:22:23,4.052s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,,2019-05-05 17:22:23,2019-05-05 17:22:24,0.185s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-05 17:22:24,2019-05-05 17:22:26,2.011s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/input_username""), 0)",Chrome 74.0.3729.131,,,2019-05-05 17:22:26,2019-05-05 17:22:26,0.147s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/input_password""), 0)",Chrome 74.0.3729.131,,,2019-05-05 17:22:26,2019-05-05 17:22:26,0.051s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/checkbox_RememberMe""), 0)",Chrome 74.0.3729.131,,,2019-05-05 17:22:26,2019-05-05 17:22:26,0.043s,PASSED
"if (getText(findTestObject(""Page_BugsUI/label_rememberMe"")).equals(""Remember me""))",Chrome 74.0.3729.131,,,2019-05-05 17:22:26,2019-05-05 17:22:26,0.066s,PASSED
"if (verifyElementNotClickable(findTestObject(""Page_BugsUI/button_Login"")))",Chrome 74.0.3729.131,,,2019-05-05 17:22:26,2019-05-05 17:22:26,0.040s,PASSED
closeBrowser(),Chrome 74.0.3729.131,,,2019-05-05 17:22:26,2019-05-05 17:22:27,0.664s,PASSED
,,,,,,,
Test Cases/Login/Valid_Login,Chrome 74.0.3729.131,,,2019-05-05 17:22:27,2019-05-05 17:23:20,53.156s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-05 17:22:27,2019-05-05 17:22:28,1.355s,PASSED
navigateToUrl(applicationUrl),Chrome 74.0.3729.131,,,2019-05-05 17:22:28,2019-05-05 17:23:09,40.221s,PASSED
delay(5),Chrome 74.0.3729.131,,,2019-05-05 17:23:09,2019-05-05 17:23:14,5.005s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,,2019-05-05 17:23:14,2019-05-05 17:23:14,0.119s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-05 17:23:14,2019-05-05 17:23:16,2.004s,PASSED
"setText(findTestObject(""Page_BugsUI/input_username""), ""knagendra-ext"")",Chrome 74.0.3729.131,,,2019-05-05 17:23:16,2019-05-05 17:23:16,0.160s,PASSED
"setText(findTestObject(""Page_BugsUI/input_password""), ""Kum1!@#$%^&*()ar"")",Chrome 74.0.3729.131,,,2019-05-05 17:23:16,2019-05-05 17:23:16,0.166s,PASSED
"if (verifyElementClickable(findTestObject(""Page_BugsUI/button_Login"")))",Chrome 74.0.3729.131,,,2019-05-05 17:23:16,2019-05-05 17:23:16,0.132s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-05 17:23:16,2019-05-05 17:23:19,3.002s,PASSED
"if (verifyElementPresent(findTestObject(""Page_BugsUI Dashboard/span_Dashboard""), 0))",Chrome 74.0.3729.131,,,2019-05-05 17:23:19,2019-05-05 17:23:19,0.035s,PASSED
closeBrowser(),Chrome 74.0.3729.131,,,2019-05-05 17:23:19,2019-05-05 17:23:20,0.684s,PASSED
,,,,,,,
Test Cases/Add_Product/AddProductFields_verification,Chrome 74.0.3729.131,,,2019-05-05 17:23:20,2019-05-05 17:25:03,1m - 43.476s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-05 17:23:20,2019-05-05 17:23:21,1.365s,PASSED
