Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SmokeSuite,Chrome 74.0.3729.131,,,2019-05-05 13:59:09,2019-05-05 14:03:10,4m - 1.136s,PASSED
,,,,,,,
Test Cases/Login/Bugzilla-LoginPage-Loads,Chrome 74.0.3729.131,,,2019-05-05 13:59:10,2019-05-05 13:59:33,23.430s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-05 13:59:10,2019-05-05 13:59:14,3.457s,PASSED
navigateToUrl(applicationUrl),Chrome 74.0.3729.131,,,2019-05-05 13:59:14,2019-05-05 13:59:26,12.257s,PASSED
delay(4),Chrome 74.0.3729.131,,,2019-05-05 13:59:26,2019-05-05 13:59:30,4.023s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,,2019-05-05 13:59:30,2019-05-05 13:59:30,0.165s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-05 13:59:30,2019-05-05 13:59:32,2.004s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/input_username""), 0)",Chrome 74.0.3729.131,,,2019-05-05 13:59:32,2019-05-05 13:59:32,0.094s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/input_password""), 0)",Chrome 74.0.3729.131,,,2019-05-05 13:59:32,2019-05-05 13:59:32,0.022s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/checkbox_RememberMe""), 0)",Chrome 74.0.3729.131,,,2019-05-05 13:59:32,2019-05-05 13:59:32,0.030s,PASSED
"if (getText(findTestObject(""Page_BugsUI/label_rememberMe"")).equals(""Remember me""))",Chrome 74.0.3729.131,,,2019-05-05 13:59:32,2019-05-05 13:59:32,0.049s,PASSED
"if (verifyElementNotClickable(findTestObject(""Page_BugsUI/button_Login"")))",Chrome 74.0.3729.131,,,2019-05-05 13:59:32,2019-05-05 13:59:32,0.045s,PASSED
closeBrowser(),Chrome 74.0.3729.131,,,2019-05-05 13:59:32,2019-05-05 13:59:33,0.687s,PASSED
,,,,,,,
Test Cases/Login/Valid_Login,Chrome 74.0.3729.131,,,2019-05-05 13:59:33,2019-05-05 13:59:58,25.298s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-05 13:59:33,2019-05-05 13:59:35,1.342s,PASSED
navigateToUrl(applicationUrl),Chrome 74.0.3729.131,,,2019-05-05 13:59:35,2019-05-05 13:59:47,12.366s,PASSED
delay(5),Chrome 74.0.3729.131,,,2019-05-05 13:59:47,2019-05-05 13:59:52,5.005s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,,2019-05-05 13:59:52,2019-05-05 13:59:52,0.142s,PASSED
